Model,MAE,MSE,RMSE,R2 Score
Decision Tree,2.395668255794838,29.175217598355022,5.401408853100738,0.9990786408144724
Random Forest,12.862520617568086,416.8641297032828,20.41725078709871,0.9868353477150842
Gradient Boosting,1.3013660224232573,6.007977287690589,2.451117558929108,0.9998102668800397
